Entity,Code,Year,Fossil fuel electricity per capita - kWh
Malta,MLT,2023,3793.8677
Martinique,MTQ,2021,3036.8845
Mauritania,MRT,2022,251.25914
Mauritius,MUS,2022,2177.7974
Mexico,MEX,2023,2115.5957
Moldova,MDA,2023,1548.3413
Mongolia,MNG,2023,2097.3806
Montenegro,MNE,2023,2601.814
Montserrat,MSR,2022,2266.0322
Morocco,MAR,2023,884.5126
Mozambique,MOZ,2022,101.609
Myanmar,MMR,2023,137.96768
Namibia,NAM,2022,19.477808
Nauru,NRU,2022,3151.8398
Nepal,NPL,2022,0
Netherlands,NLD,2023,3389.6582
New Caledonia,NCL,2022,7863.1807
New Zealand,NZL,2023,1078.7856
Nicaragua,NIC,2022,194.28947
Niger,NER,2022,28.235672
Nigeria,NGA,2023,144.3223
Niue,NIU,2022,0
North America,,2022,5027.488
North Korea,PRK,2022,360.1922
North Macedonia,MKD,2023,2205.5137
Norway,NOR,2023,409.18002
Oceania,,2022,4387.3223
Oman,OMN,2023,9585.771
Pakistan,PAK,2023,393.32904
Palestine,PSE,2022,137.14087
Panama,PAN,2022,660.07623
Papua New Guinea,PNG,2022,356.90958
Paraguay,PRY,2023,0
Peru,PER,2023,717.556
Philippines,PHL,2023,789.6036
Poland,POL,2023,2996.6313
Portugal,PRT,2023,1190.5219
Puerto Rico,PRI,2022,5789.5493
Qatar,QAT,2023,19967.611
Reunion,REU,2021,2297.8228
Romania,ROU,2023,841.5101
Russia,RUS,2023,5214.187
Rwanda,RWA,2022,32.66384
Saint Helena,SHN,2022,1851.509
Saint Kitts and Nevis,KNA,2022,4404.27
Saint Lucia,LCA,2022,2168.2085
Saint Pierre and Miquelon,SPM,2022,8496.177
Saint Vincent and the Grenadines,VCT,2022,1250.4929
Samoa,WSM,2022,584.5586
Sao Tome and Principe,STP,2022,571.69745
Saudi Arabia,SAU,2023,11289.032
Senegal,SEN,2022,332.63165
Serbia,SRB,2023,3515.1409
Seychelles,SYC,2022,4947.0293
Sierra Leone,SLE,2022,1.1620175
Singapore,SGP,2023,9099.335
Slovakia,SVK,2023,776.50385
Slovenia,SVN,2023,1736.1104
Solomon Is.,SLB,2022,138.06967
Somalia,SOM,2022,19.320917
Somaliland,SOM,2022,19.320917
South Africa,ZAF,2023,3155.0374
South America,,2022,669.59436
South Korea,KOR,2023,7314.2197
S. Sudan,SSD,2022,54.97943
Spain,ESP,2023,1638.6914
Sri Lanka,LKA,2022,501.09583
Sudan,SDN,2022,143.14911
Suriname,SUR,2022,1747.4427
Sweden,SWE,2023,274.21564
Switzerland,CHE,2023,195.52852
Syria,SYR,2022,726.7717
Taiwan,TWN,2023,9920.466
Tajikistan,TJK,2022,223.05305
Tanzania,TZA,2022,92.827614
Thailand,THA,2023,2238.6787
Togo,TGO,2022,74.58723
Tonga,TON,2022,655.0198
Trinidad and Tobago,TTO,2022,6146.1367
Tunisia,TUN,2023,1634.2618
Turkey,TUR,2023,2161.0142
Turkmenistan,TKM,2022,3585.8806
Turks and Caicos Islands,TCA,2022,5686.0425
Uganda,UGA,2022,1.2698524
Ukraine,UKR,2023,832.0055
United Arab Emirates,ARE,2023,12497.118
United Kingdom,GBR,2023,1729.4883
United States of America,USA,2023,7383.3687
United States Virgin Islands,VIR,2022,6634.566
Upper-middle-income countries,,2022,3293.4507
Uruguay,URY,2023,394.37866
Uzbekistan,UZB,2022,2015.1527
Vanuatu,VUT,2022,183.63
Venezuela,VEN,2022,667.0977
Vietnam,VNM,2023,1549.0758
W. Sahara,ESH,2009,226.17725
World,OWID_WRL,2023,2222.339
Yemen,YEM,2022,69.739944
Zambia,ZMB,2022,107.90466
Zimbabwe,ZWE,2022,178.91566
